bin,sample_count,mean_predicted_probability,observed_positive_rate
"(-0.001, 0.1]",226,0.031688051712134443,0.048672566371681415
"(0.1, 0.2]",32,0.13155579937137296,0.0
"(0.2, 0.3]",11,0.24099293570245084,0.0
"(0.3, 0.4]",7,0.35105843043140095,0.14285714285714285
"(0.4, 0.5]",2,0.45276580287881274,0.0
"(0.5, 0.6]",3,0.55198742454911,0.3333333333333333
"(0.6, 0.7]",6,0.6610705298888043,0.8333333333333334
"(0.7, 0.8]",7,0.7614168274728464,0.7142857142857143
"(0.8, 0.9]",23,0.8680890160511703,0.9565217391304348
"(0.9, 1.0]",113,0.969483167155809,0.9469026548672567
