dimension,group,sample_count,positive_count,roc_auc,brier,sensitivity,specificity
AgeGroup,60-69,139,48,0.906364468864469,0.08201685877848877,0.8958333333333334,0.9010989010989011
AgeGroup,70-79,144,45,0.934455667789001,0.051484463084385784,0.9111111111111111,0.9595959595959596
AgeGroup,80-100,147,59,0.9716872110939908,0.031263729730938244,0.9661016949152542,0.9772727272727273
Gender,0,210,80,0.9306730769230769,0.05950336082131139,0.9125,0.9461538461538461
Gender,1,220,72,0.9492304804804804,0.04960985705606372,0.9444444444444444,0.9459459459459459
EducationLevel,0,90,33,0.985645933014354,0.02225656161111334,1.0,0.9473684210526315
EducationLevel,1,174,67,0.9621983540242712,0.03144456125053758,0.9552238805970149,0.9813084112149533
EducationLevel,2,118,40,0.8560897435897435,0.1057120128970938,0.8,0.9358974358974359
EducationLevel,3,48,12,0.9722222222222222,0.07211276250747094,1.0,0.8611111111111112
Ethnicity,0,263,97,0.9495714818035027,0.04702214286531993,0.9278350515463918,0.963855421686747
Ethnicity,1,80,24,0.9769345238095238,0.05301971440263671,1.0,0.8928571428571429
Ethnicity,2,50,18,0.8611111111111112,0.09383725436688142,0.8333333333333334,0.9375
Ethnicity,3,37,13,0.9262820512820513,0.05701651028852063,0.9230769230769231,0.9583333333333334
